propid,name,simbad,title,bibcode,author,fa,altnames
15469,2MASS-J00041112-4721382,WASP-96,climate of an ultra hot jupiter. spectroscopic phase curve of wasp-18b with hst/wfc3,2019A&A...625A.136A,"['Arcangeli, Jacob', 'Désert, Jean-Michel', 'Parmentier, Vivien', 'Stevenson, Kevin B.', 'Bean, Jacob L.', 'Line, Michael R.', 'Kreidberg, Laura', 'Fortney, Jonathan J.', 'Showman, Adam P.']",Arcangeli Jacob,"['1SWASP J000411.14-472138.2' '2MASS J00041112-4721382'
 'Gaia DR2 4990044668377961984' 'TIC 160148385' 'WASP-96']"
15469,2MASS-J00041112-4721382,WASP-96,"on the compatibility of ground-based and space-based data: wasp-96 b, an example",2021AJ....161....4Y,"['Yip, Kai Hou', 'Changeat, Quentin', 'Edwards, Billy', 'Morvan, Mario', 'Chubb, Katy L.', 'Tsiaras, Angelos', 'Waldmann, Ingo P.', 'Tinetti, Giovanna']",Hou Kai Yip,"['1SWASP J000411.14-472138.2' '2MASS J00041112-4721382'
 'Gaia DR2 4990044668377961984' 'TIC 160148385' 'WASP-96']"
15469,2MASS-J00041112-4721382,WASP-96,wfc3: precision infrared spectrophotometry with spatial scans of hd 189733b and vega,2014AAS...22334721M,"['McCullough, Peter R.', 'Crouzet, N.', 'Deming, D.', 'Madhusudhan, N.', 'Deustua, S. E.', 'WFC3']",McCullough Peter R.,"['1SWASP J000411.14-472138.2' '2MASS J00041112-4721382'
 'Gaia DR2 4990044668377961984' 'TIC 160148385' 'WASP-96']"
15469,2MASS-J00041112-4721382,WASP-96,wide field camera 3: phase ii proposal update for cycle 21,2013AAS...22231612G,"['Gunning, Heather C.', 'Anderson, J.', 'Baggett, S. M.', 'Dahlen, T.', 'Dressel, L. L.', 'Long, K. S.', 'MacKenty, J. W.', 'WFC3']",C. Gunning Heather,"['1SWASP J000411.14-472138.2' '2MASS J00041112-4721382'
 'Gaia DR2 4990044668377961984' 'TIC 160148385' 'WASP-96']"
15469,2MASS-J00041112-4721382,WASP-96,status and calibration of the hst wide field camera 3,2013AAS...22134401M,"['MacKenty, John W.', 'WFC3']",John MacKenty W.,"['1SWASP J000411.14-472138.2' '2MASS J00041112-4721382'
 'Gaia DR2 4990044668377961984' 'TIC 160148385' 'WASP-96']"
15469,2MASS-J00041112-4721382,WASP-96,wfc3 - geometry distortion and multidrizzle,2010AAS...21546309K,"['Kozhurina-Platais, Vera', 'McLean, B.', 'Cox, C.', 'Dressel, L.', 'Petro, L.', 'Bushouse, H.', 'Hack, W.', 'WFC3']",Kozhurina-Platais Vera,"['1SWASP J000411.14-472138.2' '2MASS J00041112-4721382'
 'Gaia DR2 4990044668377961984' 'TIC 160148385' 'WASP-96']"
15469,2MASS-J00041112-4721382,WASP-96,characterizing a new prototype saturn-mass exoplanet with the clearest atmosphere yet,2018hst..prop15469N,"['Nikolov, Nikolay', 'Evans, Thomas M.', 'Spake, Jessica', 'Goyal, Jayesh', 'Drummond, Ben', 'Wakeford, Hannah R.', 'Fortney, Jonathan', 'Kataria, Tiffany', 'Ballester, Gilda E.', 'Gibson, Neale', 'Carter, Aarynn', 'Sing, David K.', 'Mayne, Nathan J.']",Nikolay Nikolov,"['1SWASP J000411.14-472138.2' '2MASS J00041112-4721382'
 'Gaia DR2 4990044668377961984' 'TIC 160148385' 'WASP-96']"
13660,2MASS-J16371556+0711000,WASP-103,high-precision multiwavelength eclipse photometry of the ultra-hot gas giant exoplanet wasp-103 b,2018MNRAS.474.2334D,"['Delrez, L.', 'Madhusudhan, N.', 'Lendl, M.', 'Gillon, M.', 'Anderson, D. R.', 'Neveu-VanMalle, M.', 'Bouchy, F.', 'Burdanov, A.', 'Collier-Cameron, A.', 'Demory, B. -O.', 'Hellier, C.', 'Jehin, E.', 'Magain, P.', 'Maxted, P. F. L.', 'Queloz, D.', 'Smalley, B.', 'Triaud, A. H. M. J.']",Delrez L.,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
13660,2MASS-J16371556+0711000,WASP-103,estimating dayside effective temperatures of hot jupiters and associated uncertainties through gaussian process regression,2019MNRAS.489..941P,"['Pass, Emily K.', 'Cowan, Nicolas B.', 'Cubillos, Patricio E.', 'Sklar, Jack G.']",Emily K. Pass,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
13660,2MASS-J16371556+0711000,WASP-103,ground-based transmission spectroscopy with fors2: a featureless optical transmission spectrum and detection of h<sub>2</sub>o for the ultra-hot jupiter wasp-103b,2020MNRAS.497.5155W,"['Wilson, Jamie', 'Gibson, Neale P.', 'Nikolov, Nikolay', 'Constantinou, Savvas', 'Madhusudhan, Nikku', 'Goyal, Jayesh', 'Barstow, Joanna K.', 'Carter, Aarynn L.', 'de Mooij, Ernst J. W.', 'Drummond, Benjamin', 'Mikal-Evans, Thomas', 'Helling, Christiane', 'Mayne, Nathan J.', 'Sing, David K.']",Jamie Wilson,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
13660,2MASS-J16371556+0711000,WASP-103,wfc3: precision infrared spectrophotometry with spatial scans of hd 189733b and vega,2014AAS...22334721M,"['McCullough, Peter R.', 'Crouzet, N.', 'Deming, D.', 'Madhusudhan, N.', 'Deustua, S. E.', 'WFC3']",McCullough Peter R.,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
13660,2MASS-J16371556+0711000,WASP-103,wide field camera 3: phase ii proposal update for cycle 21,2013AAS...22231612G,"['Gunning, Heather C.', 'Anderson, J.', 'Baggett, S. M.', 'Dahlen, T.', 'Dressel, L. L.', 'Long, K. S.', 'MacKenty, J. W.', 'WFC3']",C. Gunning Heather,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
13660,2MASS-J16371556+0711000,WASP-103,status and calibration of the hst wide field camera 3,2013AAS...22134401M,"['MacKenty, John W.', 'WFC3']",John MacKenty W.,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
13660,2MASS-J16371556+0711000,WASP-103,wfc3 - geometry distortion and multidrizzle,2010AAS...21546309K,"['Kozhurina-Platais, Vera', 'McLean, B.', 'Cox, C.', 'Dressel, L.', 'Petro, L.', 'Bushouse, H.', 'Hack, W.', 'WFC3']",Kozhurina-Platais Vera,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
13660,2MASS-J16371556+0711000,WASP-103,global climate and atmospheric composition of the ultra-hot jupiter wasp-103b from hst and spitzer phase curve observations,2018AJ....156...17K,"['Kreidberg, Laura', 'Line, Michael R.', 'Parmentier, Vivien', 'Stevenson, Kevin B.', 'Louden, Tom', 'Bonnefoy, Mickäel', 'Faherty, Jacqueline K.', 'Henry, Gregory W.', 'Williamson, Michael H.', 'Stassun, Keivan', 'Beatty, Thomas G.', 'Bean, Jacob L.', 'Fortney, Jonathan J.', 'Showman, Adam P.', 'Désert, Jean-Michel', 'Arcangeli, Jacob']",Kreidberg Laura,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
13660,2MASS-J16371556+0711000,WASP-103,climate of an ultra hot jupiter. spectroscopic phase curve of wasp-18b with hst/wfc3,2019A&A...625A.136A,"['Arcangeli, Jacob', 'Désert, Jean-Michel', 'Parmentier, Vivien', 'Stevenson, Kevin B.', 'Bean, Jacob L.', 'Line, Michael R.', 'Kreidberg, Laura', 'Fortney, Jonathan J.', 'Showman, Adam P.']",Arcangeli Jacob,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
13660,2MASS-J16371556+0711000,WASP-103,near-ir spectroscopy of wasp-103b at secondary eclipse,2016AAS...22730606S,"['Star Cartier, Kimberly Michelle', 'Zhao, Ming', 'Wright, Jason', 'Beatty, Thomas G.']",Cartier Kimberly Michelle Star,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
13660,2MASS-J16371556+0711000,WASP-103,near-ir spectroscopy of the newly discovered benchmark hot jupiter wasp-103b,2014hst..prop13660Z,"['Zhao, Ming']",Ming Zhao,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
13660,2MASS-J16371556+0711000,WASP-103,phase-resolved emission spectroscopy of the transiting brown dwarf kelt-1b using wfc3,2016hst..prop14664B,"['Beatty, Thomas G.', 'Deming, Drake', 'Fortney, Jonathan', 'Gaudi, Bernard Scott', 'Mandell, Avi', 'Showman, Adam']",Beatty G. Thomas,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
13660,2MASS-J16371556+0711000,WASP-103,exploring the frontier of exoplanet atmosphere dynamics with nasa's great observatories,2014sptz.prop11099K,"['Kreidberg, Laura', 'Bean, Jacob', 'Stevenson, Kevin', 'Showman, Adam', 'Fortney, Jonathan', 'Line, Michael', 'Desert, Jean-Michel']",Kreidberg Laura,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
13660,2MASS-J16371556+0711000,WASP-103,the strange chemistry of the dr. dayside and mr. nightside,2019ESS.....432637M,"['Morello, Giuseppe', 'Tremblin, Pascal', 'Danielski, Camilla', 'Martin-Lagarde, Marine', 'Gastaud, René', 'Dicken, Daniel', 'Lagage, Pierre-Olivier']",Giuseppe Morello,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
14050,2MASS-J16371556+0711000,WASP-103,high-precision multiwavelength eclipse photometry of the ultra-hot gas giant exoplanet wasp-103 b,2018MNRAS.474.2334D,"['Delrez, L.', 'Madhusudhan, N.', 'Lendl, M.', 'Gillon, M.', 'Anderson, D. R.', 'Neveu-VanMalle, M.', 'Bouchy, F.', 'Burdanov, A.', 'Collier-Cameron, A.', 'Demory, B. -O.', 'Hellier, C.', 'Jehin, E.', 'Magain, P.', 'Maxted, P. F. L.', 'Queloz, D.', 'Smalley, B.', 'Triaud, A. H. M. J.']",Delrez L.,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
14050,2MASS-J16371556+0711000,WASP-103,estimating dayside effective temperatures of hot jupiters and associated uncertainties through gaussian process regression,2019MNRAS.489..941P,"['Pass, Emily K.', 'Cowan, Nicolas B.', 'Cubillos, Patricio E.', 'Sklar, Jack G.']",Emily K. Pass,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
14050,2MASS-J16371556+0711000,WASP-103,ground-based transmission spectroscopy with fors2: a featureless optical transmission spectrum and detection of h<sub>2</sub>o for the ultra-hot jupiter wasp-103b,2020MNRAS.497.5155W,"['Wilson, Jamie', 'Gibson, Neale P.', 'Nikolov, Nikolay', 'Constantinou, Savvas', 'Madhusudhan, Nikku', 'Goyal, Jayesh', 'Barstow, Joanna K.', 'Carter, Aarynn L.', 'de Mooij, Ernst J. W.', 'Drummond, Benjamin', 'Mikal-Evans, Thomas', 'Helling, Christiane', 'Mayne, Nathan J.', 'Sing, David K.']",Jamie Wilson,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
14050,2MASS-J16371556+0711000,WASP-103,wfc3: precision infrared spectrophotometry with spatial scans of hd 189733b and vega,2014AAS...22334721M,"['McCullough, Peter R.', 'Crouzet, N.', 'Deming, D.', 'Madhusudhan, N.', 'Deustua, S. E.', 'WFC3']",McCullough Peter R.,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
14050,2MASS-J16371556+0711000,WASP-103,wide field camera 3: phase ii proposal update for cycle 21,2013AAS...22231612G,"['Gunning, Heather C.', 'Anderson, J.', 'Baggett, S. M.', 'Dahlen, T.', 'Dressel, L. L.', 'Long, K. S.', 'MacKenty, J. W.', 'WFC3']",C. Gunning Heather,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
14050,2MASS-J16371556+0711000,WASP-103,status and calibration of the hst wide field camera 3,2013AAS...22134401M,"['MacKenty, John W.', 'WFC3']",John MacKenty W.,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
14050,2MASS-J16371556+0711000,WASP-103,wfc3 - geometry distortion and multidrizzle,2010AAS...21546309K,"['Kozhurina-Platais, Vera', 'McLean, B.', 'Cox, C.', 'Dressel, L.', 'Petro, L.', 'Bushouse, H.', 'Hack, W.', 'WFC3']",Kozhurina-Platais Vera,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
14050,2MASS-J16371556+0711000,WASP-103,global climate and atmospheric composition of the ultra-hot jupiter wasp-103b from hst and spitzer phase curve observations,2018AJ....156...17K,"['Kreidberg, Laura', 'Line, Michael R.', 'Parmentier, Vivien', 'Stevenson, Kevin B.', 'Louden, Tom', 'Bonnefoy, Mickäel', 'Faherty, Jacqueline K.', 'Henry, Gregory W.', 'Williamson, Michael H.', 'Stassun, Keivan', 'Beatty, Thomas G.', 'Bean, Jacob L.', 'Fortney, Jonathan J.', 'Showman, Adam P.', 'Désert, Jean-Michel', 'Arcangeli, Jacob']",Kreidberg Laura,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
14050,2MASS-J16371556+0711000,WASP-103,climate of an ultra hot jupiter. spectroscopic phase curve of wasp-18b with hst/wfc3,2019A&A...625A.136A,"['Arcangeli, Jacob', 'Désert, Jean-Michel', 'Parmentier, Vivien', 'Stevenson, Kevin B.', 'Bean, Jacob L.', 'Line, Michael R.', 'Kreidberg, Laura', 'Fortney, Jonathan J.', 'Showman, Adam P.']",Arcangeli Jacob,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
14050,2MASS-J16371556+0711000,WASP-103,near-ir spectroscopy of wasp-103b at secondary eclipse,2016AAS...22730606S,"['Star Cartier, Kimberly Michelle', 'Zhao, Ming', 'Wright, Jason', 'Beatty, Thomas G.']",Cartier Kimberly Michelle Star,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
14050,2MASS-J16371556+0711000,WASP-103,near-ir spectroscopy of the newly discovered benchmark hot jupiter wasp-103b,2014hst..prop13660Z,"['Zhao, Ming']",Ming Zhao,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
14050,2MASS-J16371556+0711000,WASP-103,phase-resolved emission spectroscopy of the transiting brown dwarf kelt-1b using wfc3,2016hst..prop14664B,"['Beatty, Thomas G.', 'Deming, Drake', 'Fortney, Jonathan', 'Gaudi, Bernard Scott', 'Mandell, Avi', 'Showman, Adam']",Beatty G. Thomas,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
14050,2MASS-J16371556+0711000,WASP-103,exploring the frontier of exoplanet atmosphere dynamics with nasa's great observatories,2014sptz.prop11099K,"['Kreidberg, Laura', 'Bean, Jacob', 'Stevenson, Kevin', 'Showman, Adam', 'Fortney, Jonathan', 'Line, Michael', 'Desert, Jean-Michel']",Kreidberg Laura,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
14050,2MASS-J16371556+0711000,WASP-103,the strange chemistry of the dr. dayside and mr. nightside,2019ESS.....432637M,"['Morello, Giuseppe', 'Tremblin, Pascal', 'Danielski, Camilla', 'Martin-Lagarde, Marine', 'Gastaud, René', 'Dicken, Daniel', 'Lagage, Pierre-Olivier']",Giuseppe Morello,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
15685,2MASS-J19432996+5059289,KIC 12266812,wfc3: precision infrared spectrophotometry with spatial scans of hd 189733b and vega,2014AAS...22334721M,"['McCullough, Peter R.', 'Crouzet, N.', 'Deming, D.', 'Madhusudhan, N.', 'Deustua, S. E.', 'WFC3']",McCullough Peter R.,"['2MASS J19432996+5059289' 'Gaia DR2 2135400599327160192' 'KIC 12266812'
 'TIC 27686686']"
15685,2MASS-J19432996+5059289,KIC 12266812,wide field camera 3: phase ii proposal update for cycle 21,2013AAS...22231612G,"['Gunning, Heather C.', 'Anderson, J.', 'Baggett, S. M.', 'Dahlen, T.', 'Dressel, L. L.', 'Long, K. S.', 'MacKenty, J. W.', 'WFC3']",C. Gunning Heather,"['2MASS J19432996+5059289' 'Gaia DR2 2135400599327160192' 'KIC 12266812'
 'TIC 27686686']"
15685,2MASS-J19432996+5059289,KIC 12266812,status and calibration of the hst wide field camera 3,2013AAS...22134401M,"['MacKenty, John W.', 'WFC3']",John MacKenty W.,"['2MASS J19432996+5059289' 'Gaia DR2 2135400599327160192' 'KIC 12266812'
 'TIC 27686686']"
15685,2MASS-J19432996+5059289,KIC 12266812,wfc3 - geometry distortion and multidrizzle,2010AAS...21546309K,"['Kozhurina-Platais, Vera', 'McLean, B.', 'Cox, C.', 'Dressel, L.', 'Petro, L.', 'Bushouse, H.', 'Hack, W.', 'WFC3']",Kozhurina-Platais Vera,"['2MASS J19432996+5059289' 'Gaia DR2 2135400599327160192' 'KIC 12266812'
 'TIC 27686686']"
14873,2MASS-J23062928-0502285,TRAPPIST-1,"the near-infrared transmission spectra of trappist-1 planets b, c, d, e, f, and g and stellar contamination in multi-epoch transit spectra",2018AJ....156..178Z,"['Zhang, Zhanbo', 'Zhou, Yifan', 'Rackham, Benjamin V.', 'Apai, Dániel']",Zhanbo Zhang,"['2MASS J23062928-0502285' '2MASSI J2306292-050227'
 '2MASSW J2306292-050227' '2MUCD 12171' 'EPIC 200164267' 'EPIC 246199087'
 'Gaia DR2 2635476908753563008' 'K2-112' 'Karmn J23064-050'
 'TIC 278892590' 'TRAPPIST-1' 'WISEA J230630.02-050234.1']"
14873,2MASS-J23062928-0502285,TRAPPIST-1,the 0.8-4.5 μm broadband transmission spectra of trappist-1 planets,2018AJ....156..218D,"['Ducrot, E.', 'Sestovic, M.', 'Morris, B. M.', 'Gillon, M.', 'Triaud, A. H. M. J.', 'De Wit, J.', 'Thimmarayappa, D.', 'Agol, E.', 'Almleaky, Y.', 'Burdanov, A.', 'Burgasser, A. J.', 'Delrez, L.', 'Demory, B. -O.', 'Jehin, E.', 'Leconte, J.', 'McCormac, J.', 'Murray, C.', 'Queloz, D.', 'Selsis, F.', 'Thompson, S.', 'Van Grootel, V.']",Ducrot E.,"['2MASS J23062928-0502285' '2MASSI J2306292-050227'
 '2MASSW J2306292-050227' '2MUCD 12171' 'EPIC 200164267' 'EPIC 246199087'
 'Gaia DR2 2635476908753563008' 'K2-112' 'Karmn J23064-050'
 'TIC 278892590' 'TRAPPIST-1' 'WISEA J230630.02-050234.1']"
14873,2MASS-J23062928-0502285,TRAPPIST-1,transmission spectroscopy of wasp-79b from 0.6 to 5.0 μm,2020AJ....159....5S,"['Sotzen, Kristin S.', 'Stevenson, Kevin B.', 'Sing, David K.', 'Kilpatrick, Brian M.', 'Wakeford, Hannah R.', 'Filippazzo, Joseph C.', 'Lewis, Nikole K.', 'Hörst, Sarah M.', 'López-Morales, Mercedes', 'Henry, Gregory W.', 'Buchhave, Lars A.', 'Ehrenreich, David', 'Fraine, Jonathan D.', 'García Muñoz, Antonio', 'Jayaraman, Rahul', 'Lavvas, Panayotis', 'Lecavelier des Etangs, Alain', 'Marley, Mark S.', 'Nikolov, Nikolay', 'Rathcke, Alexander D.', 'Sanz-Forcada, Jorge']",Kristin S. Sotzen,"['2MASS J23062928-0502285' '2MASSI J2306292-050227'
 '2MASSW J2306292-050227' '2MUCD 12171' 'EPIC 200164267' 'EPIC 246199087'
 'Gaia DR2 2635476908753563008' 'K2-112' 'Karmn J23064-050'
 'TIC 278892590' 'TRAPPIST-1' 'WISEA J230630.02-050234.1']"
14873,2MASS-J23062928-0502285,TRAPPIST-1,collecting the puzzle pieces: completing hst's uv+nir survey of the trappist-1 system ahead of jwst,2017hst..prop15304D,"['de Wit, Julien']",Julien Wit de,"['2MASS J23062928-0502285' '2MASSI J2306292-050227'
 '2MASSW J2306292-050227' '2MUCD 12171' 'EPIC 200164267' 'EPIC 246199087'
 'Gaia DR2 2635476908753563008' 'K2-112' 'Karmn J23064-050'
 'TIC 278892590' 'TRAPPIST-1' 'WISEA J230630.02-050234.1']"
14873,2MASS-J23062928-0502285,TRAPPIST-1,exploratory observations of the trappist-1 system: essential prelude to an immediate jwst follow-up,2016hst..prop14873D,"['de Wit, Julien', 'Bolmont, Emeline', 'Bourrier, Vincent', 'Burgasser, Adam J.', 'Delrez, Laetitia', 'Demory, Brice-Olivier', 'Ehrenreich, David', 'Gillon, Michael', 'Jehin, Emmanuel', 'Leconte, Jeremy', 'Lederer, Susan', 'Lewis, Nikole', 'Raymond, Sean', 'Selsis, Franck', 'Stamenkovic, Vlada', 'Triaud, Amaury', 'Wakeford, Hannah']",Julien Wit de,"['2MASS J23062928-0502285' '2MASSI J2306292-050227'
 '2MASSW J2306292-050227' '2MUCD 12171' 'EPIC 200164267' 'EPIC 246199087'
 'Gaia DR2 2635476908753563008' 'K2-112' 'Karmn J23064-050'
 'TIC 278892590' 'TRAPPIST-1' 'WISEA J230630.02-050234.1']"
14873,2MASS-J23062928-0502285,TRAPPIST-1,confirming the presence of an hydrogen exosphere around the earth-sized temperate planet trappist-1c,2016hst..prop14900D,"['de Wit, Julien', 'Bolmont, Emeline', 'Bourrier, Vincent', 'Burgasser, Adam J.', 'Delrez, Laetitia', 'Demory, Brice-Olivier', 'Ehrenreich, David', 'Gillon, Michael', 'Jehin, Emmanuel', 'Leconte, Jeremy', 'Lederer, Susan', 'Lewis, Nikole', 'Raymond, Sean', 'Selsis, Franck', 'Stamenkovic, Vlada', 'Triaud, Amaury', 'Wakeford, Hannah']",Julien Wit de,"['2MASS J23062928-0502285' '2MASSI J2306292-050227'
 '2MASSW J2306292-050227' '2MUCD 12171' 'EPIC 200164267' 'EPIC 246199087'
 'Gaia DR2 2635476908753563008' 'K2-112' 'Karmn J23064-050'
 'TIC 278892590' 'TRAPPIST-1' 'WISEA J230630.02-050234.1']"
14873,2MASS-J23062928-0502285,TRAPPIST-1,two birds one stone: simultaneous atmospheric pre-screening of two temperate earth-sized exoplanets during their double transit,2016hst..prop14500D,"['de Wit, Julien', 'Burdanov, Artem', 'Burgasser, Adam J.', 'Delrez, Laetitia', 'Demory, Brice-Olivier', 'Gillon, Michael', 'Jehin, Emmanuel', 'Lederer, Susan', 'Lewis, Nikole', 'Magain, Pierre', 'Queloz, Didier', 'Triaud, Amaury', 'Van Grootel, Valerie']",Julien Wit de,"['2MASS J23062928-0502285' '2MASSI J2306292-050227'
 '2MASSW J2306292-050227' '2MUCD 12171' 'EPIC 200164267' 'EPIC 246199087'
 'Gaia DR2 2635476908753563008' 'K2-112' 'Karmn J23064-050'
 'TIC 278892590' 'TRAPPIST-1' 'WISEA J230630.02-050234.1']"
14873,2MASS-J23062928-0502285,TRAPPIST-1,searching for secondary atmospheres in a system of benchmark worlds,2019hst..prop15856B,"['Barclay, Thomas', 'Arney, Giada Nicole', 'Brande, Jonathan', 'Colon, Knicole', 'Crossfield, Ian', 'Domagal-Goldman, Shawn D.', 'Fauchez, Thomas', 'Gilbert, Emily', 'Hu, Renyu', 'Kopparapu, Ravi', 'Kostov, Veselin', 'Kreidberg, Laura', 'Lopez, Eric David', 'Mandell, Avi', 'Morley, Caroline', 'Mullally, Fergal', 'Mullally, Susan Elizabeth', 'Pidhorodetska, Daria', 'Quintana, Elisa V.', 'Schlieder, Joshua', 'Vega, Laura Daniela', 'Walkowicz, Lucianne M.', 'Youngblood, Allison']",Barclay Thomas,"['2MASS J23062928-0502285' '2MASSI J2306292-050227'
 '2MASSW J2306292-050227' '2MUCD 12171' 'EPIC 200164267' 'EPIC 246199087'
 'Gaia DR2 2635476908753563008' 'K2-112' 'Karmn J23064-050'
 'TIC 278892590' 'TRAPPIST-1' 'WISEA J230630.02-050234.1']"
14873,2MASS-J23062928-0502285,TRAPPIST-1,"vizier online data catalog: nir transmission spectra of trappist-1 planets (zhang+, 2018)",2019yCat..51560178Z,"['Zhang, Z.', 'Zhou, Y.', 'Rackham, B. V.', 'Apai, D.']",Z. Zhang,"['2MASS J23062928-0502285' '2MASSI J2306292-050227'
 '2MASSW J2306292-050227' '2MUCD 12171' 'EPIC 200164267' 'EPIC 246199087'
 'Gaia DR2 2635476908753563008' 'K2-112' 'Karmn J23064-050'
 'TIC 278892590' 'TRAPPIST-1' 'WISEA J230630.02-050234.1']"
14873,2MASS-J23062928-0502285,TRAPPIST-1,red worlds: spitzer exploration of a compact system of temperate terrestrial planets transiting a nearby jupiter-sized star,2016sptz.prop13067G,"['Gillon, Michael', 'Burdanov, Artem', 'Delrez, Laetitia', 'Jehin, Emmanuel', 'Magain, Pierre', 'Van Grootel, Valerie', 'Bolmont, Emeline', 'Leconte, Jeremy', 'Raymond, Sean', 'Selsis, Franck', 'Demory, Brice-Olivier', 'Queloz, Didier', 'Triaud, Amaury', 'de Wit, Julien', 'Burgasser, Adam', 'Carey, Sean', 'Ingalls, Jim', 'Lederer, Sue', 'Agol, Eric', 'Deck, Katherine']",Gillon Michael,"['2MASS J23062928-0502285' '2MASSI J2306292-050227'
 '2MASSW J2306292-050227' '2MUCD 12171' 'EPIC 200164267' 'EPIC 246199087'
 'Gaia DR2 2635476908753563008' 'K2-112' 'Karmn J23064-050'
 'TIC 278892590' 'TRAPPIST-1' 'WISEA J230630.02-050234.1']"
