name,propid,pi_l,pi_f,date,ra,dec,mode,nfiles,simbad
WASP-121,14767,Sing,David,2016-11-11,107.6002211467,-39.09724056767,WFC3 IR G141,80,WASP-121
WASP-121,15134,Mikal-Evans,Thomas,2019-02-05,107.6002221748,-39.09724192817,WFC3 IR G141,832,WASP-121
WASP-121,15135,Mikal-Evans,Thomas,2017-12-09,107.6002225448,-39.09724998028,WFC3 IR G102,158,WASP-121
WASP-127,14619,Spake,Jessica,2018-04-09,160.5587554582,-3.834994568463,WFC3 IR G141,75,WASP-127
WASP-17,12181,Deming,Drake,2011-07-08,239.96226303,-28.06178518634,WFC3 IR G141,132,WASP-17
WASP-17,14918,Wakeford,Hannah,2017-09-25,239.962235753,-28.06181167638,WFC3 IR G141,200,WASP-17
WASP-18,12181,Deming,Drake,2011-06-25,24.3542951401,-45.67788744741,WFC3 IR G141,312,WASP-18
WASP-18,13467,Bean,Jacob,2014-08-27,24.35430875,-45.67788611111,WFC3 IR G141,671,WASP-18
WASP-19,12181,Deming,Drake,2011-07-01,148.4168122575,-45.65914174561,WFC3 IR G141,550,WASP-19
WASP-29,14260,Deming,Drake,2016-04-15,357.8792483385,-39.90714585933,WFC3 IR G141,75,WASP-29
WASP-31,12473,Sing,David,2012-05-13,169.4388817504,-19.05479189065,WFC3 IR G141,75,WASP-31
WASP-33,12495,Deming,Drake,2013-01-14,36.71274430429,37.5504669569,WFC3 IR G141,240,WASP-33
WASP-39,14260,Deming,Drake,2017-02-07,217.3266096382,-3.444486695326,WFC3 IR G141,140,WASP-39
WASP-43,13467,Bean,Jacob,2013-12-05,154.9083666667,-9.806275,WFC3 IR G141,1139,WASP-43
WASP-52,14260,Deming,Drake,2016-08-28,348.4948333333,8.761277777778,WFC3 IR G141,56,WASP-52
WASP-6,14767,Sing,David,2017-05-06,348.1572331719,-22.6740884795,WFC3 IR G141,63,WASP-6
WASP-63,14642,Stevenson,Kevin,2016-09-19,94.33644333333,-38.32327777778,WFC3 IR G141,175,WASP-63
WASP-67,14260,Deming,Drake,2016-10-22,295.7437375822,-19.94971383633,WFC3 IR G141,72,WASP-67
WASP-69,14260,Deming,Drake,2016-08-16,315.0259793898,-5.094904487636,WFC3 IR G141,95,WASP-69
WASP-74,14767,Sing,David,2017-05-02,304.5388581226,-1.076027666436,WFC3 IR G141,152,WASP-74
WASP-76,14260,Deming,Drake,2015-11-26,26.63315939135,2.700302441588,WFC3 IR G141,93,WASP-76
WASP-76,14767,Sing,David,2016-11-03,26.63296736773,2.70039301883,WFC3 IR G141,94,WASP-76
WASP-79,14767,Sing,David,2017-03-03,66.370917566,-30.60041576986,WFC3 IR G141,130,WASP-79
WASP-80,14260,Deming,Drake,2016-06-21,303.1675,-2.144222222222,WFC3 IR G141,75,WASP-80
XO-1,12181,Deming,Drake,2011-09-30,240.5492604215,28.16960449972,WFC3 IR G141,129,XO-1
XO-2,13653,Griffith,Caitlin,2016-01-06,117.0288239923,50.2210539995,WFC3 IR G141,87,XO-2
